Date,Region,Area,Unemployment_Rate,Employed,Labour_Participation_Rate
25-07-2027,Uttar Pradesh,Urban,11.81,1827408,52.43
26-07-2027,West Bengal,Rural,5.46,2901742,64.56
27-07-2027,Uttar Pradesh,Rural,27.86,3188272,49.25
28-07-2027,Gujarat,Rural,7.94,1155675,65.91
29-07-2027,Rajasthan,Rural,19.41,3664375,56.97
30-07-2027,Delhi,Urban,11.85,1065188,35.48
31-07-2027,West Bengal,Urban,18.85,4848703,69.8
01-08-2027,Rajasthan,Rural,21.29,2261088,51.09
02-08-2027,Uttar Pradesh,Rural,25.74,2420484,45.67
03-08-2027,Karnataka,Rural,10.16,4205223,56.36
04-08-2027,Uttar Pradesh,Urban,5.27,2922988,34.36
05-08-2027,West Bengal,Rural,8.42,4019047,55.46
06-08-2027,Rajasthan,Rural,27.5,3568792,49.93
07-08-2027,Uttar Pradesh,Rural,26.85,587510,46.27
08-08-2027,Maharashtra,Rural,19.94,3675168,68.12
09-08-2027,Karnataka,Urban,20.01,4155447,50.9
10-08-2027,Gujarat,Urban,21.63,1773879,38.76
11-08-2027,Rajasthan,Urban,9.38,1880752,48.36
12-08-2027,Karnataka,Rural,27.86,3393331,66.78
13-08-2027,Rajasthan,Urban,15.47,3864455,37.04
14-08-2027,West Bengal,Urban,14.58,4435518,38.56
15-08-2027,Rajasthan,Urban,17.97,503082,30.52
16-08-2027,Karnataka,Rural,6.17,301139,30.57
17-08-2027,Rajasthan,Rural,9.16,4004722,63.18
18-08-2027,Uttar Pradesh,Rural,23.45,2846866,59.28
19-08-2027,Maharashtra,Rural,7.07,1307786,44.2
20-08-2027,Delhi,Urban,20.08,192601,57.93
21-08-2027,West Bengal,Rural,11.13,3275684,45.81
22-08-2027,Karnataka,Rural,14.73,3484068,68.12
23-08-2027,West Bengal,Urban,12.22,729085,68.68
24-08-2027,Rajasthan,Urban,13.89,2059925,45.71
25-08-2027,Gujarat,Urban,22.98,3109887,64.17
26-08-2027,Delhi,Rural,12.43,1618087,60.92
27-08-2027,Maharashtra,Rural,19.16,2113321,42.4
28-08-2027,Karnataka,Urban,16.9,2618638,39.28
29-08-2027,Karnataka,Rural,21.59,703103,48.33
30-08-2027,Gujarat,Rural,28.42,4333583,61.25
31-08-2027,Uttar Pradesh,Urban,23.31,4666235,68.41
01-09-2027,Maharashtra,Urban,10.37,2089968,60.54
02-09-2027,Rajasthan,Rural,5.78,2345854,64.21
03-09-2027,Rajasthan,Urban,11.56,4739681,54.12
04-09-2027,Gujarat,Urban,19.88,2716241,63.42
05-09-2027,Uttar Pradesh,Urban,6.29,2943586,61.38
06-09-2027,Maharashtra,Urban,17.41,1357008,45.08
07-09-2027,Gujarat,Rural,19.92,4170211,52.08
08-09-2027,West Bengal,Urban,13.36,3943688,62.19
09-09-2027,Uttar Pradesh,Rural,24.27,3716984,31.84
10-09-2027,Tamil Nadu,Urban,7.66,4417561,62.32
11-09-2027,Rajasthan,Urban,6.88,4118365,37.12
12-09-2027,Gujarat,Rural,23.2,1103171,50.59
13-09-2027,Maharashtra,Urban,17.39,3000737,62.33
14-09-2027,Gujarat,Rural,22.21,1470485,40.15
15-09-2027,West Bengal,Rural,15.87,1781076,39.83
16-09-2027,Karnataka,Rural,11.16,1711935,46.11
17-09-2027,Rajasthan,Rural,25.48,212990,65.79
18-09-2027,Uttar Pradesh,Rural,24.99,1081883,30.02
19-09-2027,Maharashtra,Urban,22.37,1768321,66.06
20-09-2027,West Bengal,Rural,11.8,3393705,36.15
21-09-2027,West Bengal,Urban,19.76,1718702,69.6
22-09-2027,Maharashtra,Rural,14.02,1600071,68.19
23-09-2027,Tamil Nadu,Rural,7.29,3859505,49.79
24-09-2027,Delhi,Rural,27.93,126806,50.51
25-09-2027,Gujarat,Urban,8.42,4709688,49.26
26-09-2027,Karnataka,Rural,28.76,4364423,55.42
27-09-2027,Delhi,Rural,16.15,1973722,33.63
